Prefix;Country;;Rate;Increment;Min Time;Connection fee
1246;Barbados;FIX;1,8488;30;0;0,0661
12461;Barbados;MOB;1,8488;30;0;0,0661
12462;Barbados;MOB;1,8488;30;0;0,0661
124623;Barbados;MOB;1,8488;30;0;0,0661
1246230;Barbados;MOB;1,8488;30;0;0,0661
1246231;Barbados;MOB;1,8488;30;0;0,0661
1246232;Barbados;MOB;1,8488;30;0;0,0661
1246233;Barbados;MOB;1,8488;30;0;0,0661
1246234;Barbados;MOB;1,8488;30;0;0,0661
124624;Barbados;MOB;1,8488;30;0;0,0661
124625;Barbados;MOB;1,8488;30;0;0,0661
1246250;Barbados;MOB;1,8488;30;0;0,0661
1246251;Barbados;MOB;1,8488;30;0;0,0661
1246252;Barbados;MOB;1,8488;30;0;0,0661
1246253;Barbados;MOB;1,8488;30;0;0,0661
1246254;Barbados;MOB;1,8488;30;0;0,0661
1246256;Barbados;MOB;1,8488;30;0;0,0661
1246257;Barbados;MOB;1,8488;30;0;0,0661
1246258;Barbados;MOB;1,8488;30;0;0,0661
1246259;Barbados;MOB;1,8488;30;0;0,0661
124626;Barbados;MOB;1,8488;30;0;0,0661
12463;Barbados;MOB;1,8488;30;0;0,0661
12464;Barbados;MOB;1,8488;30;0;0,0661
1246446;Barbados;MOB;1,8488;30;0;0,0661
1246447;Barbados;MOB;1,8488;30;0;0,0661
1246448;Barbados;MOB;1,8488;30;0;0,0661
1246449;Barbados;MOB;1,8488;30;0;0,0661
124645;Barbados;MOB;1,8488;30;0;0,0661
12465;Barbados;MOB;1,8488;30;0;0,0661
124652;Barbados;MOB;1,8488;30;0;0,0661
12466;Barbados;MOB;1,8488;30;0;0,0661
12467;Barbados;MOB;1,8488;30;0;0,0661
124682;Barbados;MOB;1,8488;30;0;0,0661
375;Belarus;FIX;0,6639;30;0;0,0661
3750;Belarus;MOB;0,6639;30;0;0,0661
37517;Belarus;FIX;0,6639;30;0;0,0661
375172;Belarus;FIX;0,6639;30;0;0,0661
375175;Belarus;FIX;0,6639;30;0;0,0661
37525;Belarus;MOB;0,6639;30;0;0,0661
375259;Belarus;MOB;0,6639;30;0;0,0661
37529;Belarus;MOB;0,6639;30;0;0,0661
37533;Belarus;MOB;0,6639;30;0;0,0661
37544;Belarus;MOB;0,6639;30;0;0,0661
37560;Belarus;MOB;0,6639;30;0;0,0661
37580;Belarus;MOB;0,6639;30;0;0,0661
375810;Belarus;MOB;0,6639;30;0;0,0661
375820;Belarus;MOB;0,6639;30;0;0,0661
375902;Belarus;MOB;0,6639;30;0;0,0661
32;Belgium;FIX;0,1345;30;0;0,0661
322;Belgium;FIX;0,1345;30;0;0,0661
3244;Belgium;MOB;0,7227;30;0;0,0661
32446;Belgium;MOB;0,7227;30;0;0,0661
3245;Belgium;MOB;0,7227;30;0;0,0661
3247;Belgium;MOB;0,7227;30;0;0,0661
32472;Belgium;MOB;0,7227;30;0;0,0661
32473;Belgium;MOB;0,7227;30;0;0,0661
32474;Belgium;MOB;0,7227;30;0;0,0661
32475;Belgium;MOB;0,7227;30;0;0,0661
32476;Belgium;MOB;0,7227;30;0;0,0661
32477;Belgium;MOB;0,7227;30;0;0,0661
32478;Belgium;MOB;0,7227;30;0;0,0661
32479;Belgium;MOB;0,7227;30;0;0,0661
3248;Belgium;MOB;0,7227;30;0;0,0661
32484;Belgium;MOB;0,7227;30;0;0,0661
32485;Belgium;MOB;0,7227;30;0;0,0661
32486;Belgium;MOB;0,7227;30;0;0,0661
3249;Belgium;MOB;0,7227;30;0;0,0661
32494;Belgium;MOB;0,7227;30;0;0,0661
32495;Belgium;MOB;0,7227;30;0;0,0661
32496;Belgium;MOB;0,7227;30;0;0,0661
32497;Belgium;MOB;0,7227;30;0;0,0661
32498;Belgium;MOB;0,7227;30;0;0,0661
32499;Belgium;MOB;0,7227;30;0;0,0661
3270;Belgium;NGN;0,1345;30;0;0,0661
3275;Belgium;MOB;0,7227;30;0;0,0661
3278;Belgium;NGN;0,1345;30;0;0,0661
32800;Belgium;NGN;0,1345;30;0;0,0661
3288;Belgium;MOB;0,7227;30;0;0,0661
3290;Belgium;NGN;0,1345;30;0;0,0661
3295;Belgium;MOB;0,7227;30;0;0,0661
3296;Belgium;MOB;0,7227;30;0;0,0661
3298;Belgium;MOB;0,7227;30;0;0,0661
501;Belize;FIX;1,8488;30;0;0,0661
5012;Belize;FIX;1,8488;30;0;0,0661
5016;Belize;MOB;1,8488;30;0;0,0661
229;Benin;FIX;1,8488;30;0;0,0661
22901;Benin;MOB;1,8488;30;0;0,0661
22902;Benin;MOB;1,8488;30;0;0,0661
22903;Benin;MOB;1,8488;30;0;0,0661
22904;Benin;MOB;1,8488;30;0;0,0661
22905;Benin;MOB;1,8488;30;0;0,0661
22906;Benin;MOB;1,8488;30;0;0,0661
22907;Benin;MOB;1,8488;30;0;0,0661
22909;Benin;MOB;1,8488;30;0;0,0661
22920;Benin;MOB;1,8488;30;0;0,0661
22921;Benin;MOB;1,8488;30;0;0,0661
22922;Benin;MOB;1,8488;30;0;0,0661
22923;Benin;MOB;1,8488;30;0;0,0661
22928;Benin;MOB;1,8488;30;0;0,0661
22929;Benin;MOB;1,8488;30;0;0,0661
22939;Benin;MOB;1,8488;30;0;0,0661
22940;Benin;MOB;1,8488;30;0;0,0661
22942;Benin;MOB;1,8488;30;0;0,0661
22944;Benin;MOB;1,8488;30;0;0,0661
22945;Benin;MOB;1,8488;30;0;0,0661
22946;Benin;MOB;1,8488;30;0;0,0661
22947;Benin;MOB;1,8488;30;0;0,0661
22948;Benin;MOB;1,8488;30;0;0,0661
22949;Benin;MOB;1,8488;30;0;0,0661
22956;Benin;MOB;1,8488;30;0;0,0661
22957;Benin;MOB;1,8488;30;0;0,0661
22958;Benin;MOB;1,8488;30;0;0,0661
22959;Benin;MOB;1,8488;30;0;0,0661
22960;Benin;MOB;1,8488;30;0;0,0661
22964;Benin;MOB;1,8488;30;0;0,0661
22968;Benin;MOB;1,8488;30;0;0,0661
22969;Benin;MOB;1,8488;30;0;0,0661
22970;Benin;MOB;1,8488;30;0;0,0661
22972;Benin;MOB;1,8488;30;0;0,0661
22974;Benin;MOB;1,8488;30;0;0,0661
22977;Benin;MOB;1,8488;30;0;0,0661
22979;Benin;MOB;1,8488;30;0;0,0661
22984;Benin;MOB;1,8488;30;0;0,0661
22985;Benin;MOB;1,8488;30;0;0,0661
22986;Benin;MOB;1,8488;30;0;0,0661
22987;Benin;MOB;1,8488;30;0;0,0661
22988;Benin;MOB;1,8488;30;0;0,0661
2299;Benin;MOB;1,8488;30;0;0,0661
14410;Bermuda;FIX;1,0085;30;0;0,0661
14411;Bermuda;FIX;1,0085;30;0;0,0661
14412;Bermuda;FIX;1,0085;30;0;0,0661
1441234;Bermuda;MOB;1,0085;30;0;0,0661
1441235;Bermuda;MOB;1,0085;30;0;0,0661
1441236;Bermuda;MOB;1,0085;30;0;0,0661
1441237;Bermuda;MOB;1,0085;30;0;0,0661
14413;Bermuda;MOB;1,0085;30;0;0,0661
14414;Bermuda;FIX;1,0085;30;0;0,0661
14415;Bermuda;FIX;1,0085;30;0;0,0661
144150;Bermuda;MOB;1,0085;30;0;0,0661
144151;Bermuda;MOB;1,0085;30;0;0,0661
144152;Bermuda;MOB;1,0085;30;0;0,0661
144153;Bermuda;MOB;1,0085;30;0;0,0661
144159;Bermuda;MOB;1,0085;30;0;0,0661
14416;Bermuda;FIX;1,0085;30;0;0,0661
14417;Bermuda;MOB;1,0085;30;0;0,0661
1441700;Bermuda;MOB;1,0085;30;0;0,0661
1441732;Bermuda;MOB;1,0085;30;0;0,0661
1441734;Bermuda;MOB;1,0085;30;0;0,0661
1441735;Bermuda;MOB;1,0085;30;0;0,0661
1441737;Bermuda;MOB;1,0085;30;0;0,0661
1441777;Bermuda;MOB;1,0085;30;0;0,0661
1441799;Bermuda;MOB;1,0085;30;0;0,0661
14418;Bermuda;FIX;1,0085;30;0;0,0661
14419;Bermuda;FIX;1,0085;30;0;0,0661
975;Bhutan;FIX;1,2606;30;0;0,0661
97517;Bhutan;MOB;1,2606;30;0;0,0661
591;Bolivia;FIX;0,916;30;0;0,0661
5911;Bolivia;MOB;0,916;30;0;0,0661
59122;Bolivia;FIX;0,916;30;0;0,0661
59133;Bolivia;FIX;0,916;30;0;0,0661
59144;Bolivia;FIX;0,916;30;0;0,0661
5917;Bolivia;MOB;0,916;30;0;0,0661
387;Bosnia And Herzegovina;FIX;0,8404;30;0;0,0661
387304;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873064;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873065;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873070;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873071;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873073;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873074;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873079;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873080;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873087;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
38731;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873288;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873289;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
38733;Bosnia And Herzegovina;FIX;0,8404;30;0;0,0661
38734;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
387363;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
387364;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
387366;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873677;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3873678;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
387368;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
38739;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
387492;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
387493;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
387497;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3875;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3876;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
38761;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
38762;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
38763;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
38765;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3877;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3878;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
3879;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
38790;Bosnia And Herzegovina;MOB;0,8404;30;0;0,0661
267;Botswana;FIX;1,8488;30;0;0,0661
2677;Botswana;MOB;1,8488;30;0;0,0661
26771;Botswana;MOB;1,8488;30;0;0,0661
26772;Botswana;MOB;1,8488;30;0;0,0661
55;Brazil;FIX;0,916;30;0;0,0661
55107;Brazil;MOB;0,916;30;0;0,0661
55108;Brazil;MOB;0,916;30;0;0,0661
55109;Brazil;MOB;0,916;30;0;0,0661
5511;Brazil;FIX;0,916;30;0;0,0661
55117;Brazil;MOB;0,916;30;0;0,0661
55118;Brazil;MOB;0,916;30;0;0,0661
55119;Brazil;MOB;0,916;30;0;0,0661
55127;Brazil;MOB;0,916;30;0;0,0661
55128;Brazil;MOB;0,916;30;0;0,0661
55129;Brazil;MOB;0,916;30;0;0,0661
5513;Brazil;FIX;0,916;30;0;0,0661
55137;Brazil;MOB;0,916;30;0;0,0661
55138;Brazil;MOB;0,916;30;0;0,0661
55139;Brazil;MOB;0,916;30;0;0,0661
55147;Brazil;MOB;0,916;30;0;0,0661
55148;Brazil;MOB;0,916;30;0;0,0661
55149;Brazil;MOB;0,916;30;0;0,0661
55157;Brazil;MOB;0,916;30;0;0,0661
55158;Brazil;MOB;0,916;30;0;0,0661
55159;Brazil;MOB;0,916;30;0;0,0661
55167;Brazil;MOB;0,916;30;0;0,0661
55168;Brazil;MOB;0,916;30;0;0,0661
55169;Brazil;MOB;0,916;30;0;0,0661
55177;Brazil;MOB;0,916;30;0;0,0661
